ticker,weight,cluster
UNH,0.10598994314196655,4
PFE,0.09785865729898904,4
ABT,0.08613420098960488,1
JNJ,0.0853307567218659,1
MRK,0.08369819946845194,1
WFC,0.06736996810424377,0
C,0.048586708283343424,5
JPM,0.04718945374351118,5
GS,0.04395449253806158,0
BAC,0.04240531067668188,5
GOOGL,0.04094410552537938,4
MSFT,0.036997610883378426,2
CVX,0.03227281103724132,0
AMZN,0.03126521883139255,2
SLB,0.02890309614508723,3
EOG,0.026049145366214246,3
META,0.02589189444523341,2
COP,0.024991775270323948,3
AAPL,0.023396795797308616,2
XOM,0.020769855731720768,0
